time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2023-01-01,37.9,26.4,14.90
2023-01-02,30.3,22.5,1.50
2023-01-03,28.2,19.9,0.20
2023-01-04,33.2,17.1,0.00
2023-01-05,34.8,19.0,0.00
2023-01-06,35.3,20.6,0.00
2023-01-07,35.3,22.5,0.00
2023-01-08,34.9,21.0,0.00
2023-01-09,35.3,23.4,0.00
2023-01-10,36.8,23.9,0.00
2023-01-11,38.7,25.1,0.00
2023-01-12,35.4,24.9,3.60
2023-01-13,26.7,20.4,14.50
2023-01-14,29.9,17.8,0.00
2023-01-15,31.5,18.9,0.00
2023-01-16,33.5,21.2,0.00
2023-01-17,36.0,24.0,0.00
2023-01-18,35.1,25.9,0.60
2023-01-19,36.8,25.5,0.10
2023-01-20,38.8,27.1,0.00
2023-01-21,35.0,26.8,4.30
2023-01-22,35.0,23.5,0.00
2023-01-23,36.2,23.6,0.00
2023-01-24,38.0,25.0,0.00
2023-01-25,37.5,26.7,0.80
2023-01-26,33.8,25.6,16.90
2023-01-27,38.1,26.9,0.00
2023-01-28,33.2,25.6,0.00
2023-01-29,34.0,24.9,0.00
2023-01-30,33.4,24.9,8.30
2023-01-31,34.8,22.1,0.00
2023-02-01,37.5,23.7,0.00
2023-02-02,36.2,24.9,1.40
2023-02-03,32.1,22.6,0.40
2023-02-04,31.8,22.9,0.00
2023-02-05,33.2,21.8,0.00
2023-02-06,37.7,22.8,0.00
2023-02-07,38.7,26.5,0.00
2023-02-08,40.2,28.0,0.00
2023-02-09,31.8,23.0,23.40
2023-02-10,34.2,23.8,5.20
2023-02-11,35.8,25.4,0.00
2023-02-12,38.5,25.9,0.00
2023-02-13,38.5,28.0,2.30
2023-02-14,34.0,25.5,3.10
2023-02-15,34.4,24.2,0.10
2023-02-16,35.4,22.4,19.40
2023-02-17,22.2,16.1,0.10
2023-02-18,22.5,12.3,0.00
2023-02-19,26.8,17.2,0.00
2023-02-20,32.4,17.9,0.00
2023-02-21,35.0,21.6,0.00
2023-02-22,35.6,23.8,0.00
2023-02-23,30.2,24.1,5.20
2023-02-24,32.4,22.0,0.70
2023-02-25,35.7,22.0,0.00
2023-02-26,34.0,21.8,0.00
2023-02-27,33.3,23.4,1.00
2023-02-28,34.3,22.6,0.50
2023-03-01,31.4,24.0,18.80
2023-03-02,28.4,22.5,25.30
2023-03-03,27.5,21.1,18.90
2023-03-04,31.4,21.5,0.40
2023-03-05,32.8,22.0,0.00
2023-03-06,32.0,22.3,0.00
