fecha,temp_max,temp_min,precipitacion,temp_promedio
2023-01-01,37.9,26.4,14.9,32.15
2023-01-02,30.3,22.5,1.5,26.4
2023-01-03,28.2,19.9,0.2,24.049999999999997
2023-01-04,33.2,17.1,0.0,25.150000000000002
2023-01-05,34.8,19.0,0.0,26.9
2023-01-06,35.3,20.6,0.0,27.95
2023-01-07,35.3,22.5,0.0,28.9
2023-01-08,34.9,21.0,0.0,27.95
2023-01-09,35.3,23.4,0.0,29.349999999999998
2023-01-10,36.8,23.9,0.0,30.349999999999998
2023-01-11,38.7,25.1,0.0,31.900000000000002
2023-01-12,35.4,24.9,3.6,30.15
2023-01-13,26.7,20.4,14.5,23.549999999999997
2023-01-14,29.9,17.8,0.0,23.85
2023-01-15,31.5,18.9,0.0,25.2
2023-01-16,33.5,21.2,0.0,27.35
2023-01-17,36.0,24.0,0.0,30.0
2023-01-18,35.1,25.9,0.6,30.5
2023-01-19,36.8,25.5,0.1,31.15
2023-01-20,38.8,27.1,0.0,32.95
2023-01-21,35.0,26.8,4.3,30.9
2023-01-22,35.0,23.5,0.0,29.25
2023-01-23,36.2,23.6,0.0,29.900000000000002
2023-01-24,38.0,25.0,0.0,31.5
2023-01-25,37.5,26.7,0.8,32.1
2023-01-26,33.8,25.6,16.9,29.7
2023-01-27,38.1,26.9,0.0,32.5
2023-01-28,33.2,25.6,0.0,29.400000000000002
2023-01-29,34.0,24.9,0.0,29.45
2023-01-30,33.4,24.9,8.3,29.15
2023-01-31,34.8,22.1,0.0,28.45
2023-02-01,37.5,23.7,0.0,30.6
2023-02-02,36.2,24.9,1.4,30.55
2023-02-03,32.1,22.6,0.4,27.35
2023-02-04,31.8,22.9,0.0,27.35
2023-02-05,33.2,21.8,0.0,27.5
2023-02-06,37.7,22.8,0.0,30.25
2023-02-07,38.7,26.5,0.0,32.6
2023-02-08,40.2,28.0,0.0,34.1
2023-02-09,31.8,23.0,23.4,27.4
2023-02-10,34.2,23.8,5.2,29.0
2023-02-11,35.8,25.4,0.0,30.599999999999998
2023-02-12,38.5,25.9,0.0,32.2
2023-02-13,38.5,28.0,2.3,33.25
2023-02-14,34.0,25.5,3.1,29.75
2023-02-15,34.4,24.2,0.1,29.299999999999997
2023-02-16,35.4,22.4,19.4,28.9
2023-02-17,22.2,16.1,0.1,19.15
2023-02-18,22.5,12.3,0.0,17.4
2023-02-19,26.8,17.2,0.0,22.0
2023-02-20,32.4,17.9,0.0,25.15
2023-02-21,35.0,21.6,0.0,28.3
2023-02-22,35.6,23.8,0.0,29.700000000000003
2023-02-23,30.2,24.1,5.2,27.15
2023-02-24,32.4,22.0,0.7,27.2
2023-02-25,35.7,22.0,0.0,28.85
2023-02-26,34.0,21.8,0.0,27.9
2023-02-27,33.3,23.4,1.0,28.349999999999998
2023-02-28,34.3,22.6,0.5,28.45
2023-03-01,31.4,24.0,18.8,27.7
2023-03-02,28.4,22.5,25.3,25.45
2023-03-03,27.5,21.1,18.9,24.3
2023-03-04,31.4,21.5,0.4,26.45
2023-03-05,32.8,22.0,0.0,27.4
2023-03-06,32.0,22.3,0.0,27.15
2023-03-07,31.5,21.6,0.0,26.55
2023-03-08,33.0,22.1,0.0,27.55
2023-03-09,33.1,23.6,0.0,28.35
2023-03-10,33.7,23.9,0.0,28.8
2023-03-11,35.8,24.6,0.0,30.2
2023-03-12,35.7,24.2,0.0,29.950000000000003
2023-03-13,35.1,25.8,0.0,30.450000000000003
2023-03-14,30.5,25.2,11.2,27.85
2023-03-15,30.5,23.5,7.6,27.0
2023-03-16,29.4,23.3,16.6,26.35
2023-03-17,30.2,23.9,4.0,27.049999999999997
2023-03-18,29.5,23.5,26.3,26.5
2023-03-19,33.8,24.6,0.0,29.2
2023-03-20,33.5,23.5,0.1,28.5
2023-03-21,34.8,25.2,0.3,30.0
2023-03-22,35.0,24.3,1.0,29.65
2023-03-23,35.5,25.4,0.2,30.45
2023-03-24,32.2,24.5,25.7,28.35
2023-03-25,29.7,24.0,2.9,26.85
2023-03-26,29.5,20.0,0.0,24.75
2023-03-27,28.1,19.2,0.0,23.65
2023-03-28,32.3,19.3,0.0,25.799999999999997
2023-03-29,34.3,22.8,15.6,28.549999999999997
2023-03-30,28.2,21.6,28.8,24.9
2023-03-31,30.5,22.5,1.0,26.5
2023-04-01,25.2,19.9,1.3,22.549999999999997
